                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.1761,                 1.0978,                  1.052,                0.40401,                0.45266,                0.37277,                0.19565,                 1.7008,                 1.2987,                 1.3757,               0.000406,               0.000406,               0.000406
                    122,                 1.1745,                   1.07,                 1.0531,                0.42439,                0.43993,                0.37576,                 0.1957,                 1.6977,                 1.3128,                 1.3737,             0.00040105,             0.00040105,             0.00040105
                    123,                 1.1513,                 1.0996,                 1.0456,                  0.409,                0.44186,                 0.3746,                0.19551,                  1.692,                 1.3059,                 1.3678,              0.0003961,              0.0003961,              0.0003961
                    124,                 1.1517,                 1.0841,                 1.0459,                0.39906,                0.43704,                0.37408,                0.19473,                 1.6989,                 1.3216,                 1.3704,             0.00039115,             0.00039115,             0.00039115
                    125,                 1.1482,                 1.1057,                 1.0518,                0.42813,                0.43311,                0.36417,                0.19649,                 1.6959,                 1.3112,                 1.3775,              0.0003862,              0.0003862,              0.0003862
                    126,                 1.1703,                 1.0898,                 1.0535,                0.42912,                0.42821,                0.37184,                0.19784,                 1.7006,                  1.302,                 1.3799,             0.00038125,             0.00038125,             0.00038125
                    127,                 1.1516,                 1.0365,                 1.0478,                0.42235,                0.45284,                0.37139,                0.19241,                 1.6991,                 1.3182,                 1.3718,              0.0003763,              0.0003763,              0.0003763
                    128,                 1.1386,                 1.0383,                 1.0346,                0.42998,                0.44938,                0.37176,                0.19599,                 1.7099,                 1.3352,                 1.3849,             0.00037135,             0.00037135,             0.00037135
                    129,                 1.1424,                 1.0227,                 1.0463,                 0.4171,                0.45117,                0.37698,                0.19657,                  1.701,                 1.3191,                 1.3831,              0.0003664,              0.0003664,              0.0003664
                    130,                 1.1557,                 1.0389,                 1.0447,                0.42879,                0.44245,                 0.3658,                0.19426,                 1.7004,                 1.3133,                 1.3843,             0.00036145,             0.00036145,             0.00036145
                    131,                 1.1396,                  1.064,                 1.0364,                0.41676,                0.44012,                 0.3761,                0.19427,                 1.6997,                 1.3152,                 1.3809,              0.0003565,              0.0003565,              0.0003565
                    132,                 1.1407,                 1.0342,                 1.0424,                0.40954,                 0.4413,                0.36907,                0.19557,                 1.7011,                 1.3151,                 1.3788,             0.00035155,             0.00035155,             0.00035155
                    133,                 1.1304,                 1.0249,                 1.0365,                0.40486,                0.42686,                0.36854,                0.19011,                 1.7013,                 1.3265,                 1.3849,              0.0003466,              0.0003466,              0.0003466
                    134,                 1.1314,                 1.0235,                 1.0412,                0.40996,                0.45396,                 0.3707,                0.19158,                 1.7125,                 1.3258,                 1.3895,             0.00034165,             0.00034165,             0.00034165
                    135,                 1.1283,                 1.0295,                  1.045,                0.41256,                 0.4341,                0.36155,                0.18823,                 1.7234,                 1.3371,                 1.3929,              0.0003367,              0.0003367,              0.0003367
