"Step","volcanic-bush-67 - Test Accuracy","volcanic-bush-67 - Test Accuracy__MIN","volcanic-bush-67 - Test Accuracy__MAX","volcanic-bush-67 - Train Accuracy","volcanic-bush-67 - Train Accuracy__MIN","volcanic-bush-67 - Train Accuracy__MAX"
"606","","","","73.95348837209302","73.95348837209302","73.95348837209302"
"607","63.81578947368421","63.81578947368421","63.81578947368421","","",""
"608","","","","","",""
"609","","","","","",""
"610","","","","","",""
"611","","","","","",""
"612","","","","","",""
"613","","","","73.0232558139535","73.0232558139535","73.0232558139535"
"614","51.31578947368421","51.31578947368421","51.31578947368421","","",""
"615","","","","","",""
"616","","","","","",""
"617","","","","","",""
"618","","","","","",""
"619","","","","","",""
"620","","","","70","70","70"
"621","","","","","",""
"622","","","","","",""
"623","","","","","",""
"624","","","","","",""
"625","","","","72.55813953488372","72.55813953488372","72.55813953488372"
"626","55.921052631578945","55.921052631578945","55.921052631578945","","",""
"627","","","","","",""
"628","","","","","",""
"629","","","","","",""
"630","","","","","",""
"631","","","","","",""
"632","","","","75.11627906976744","75.11627906976744","75.11627906976744"
"633","55.921052631578945","55.921052631578945","55.921052631578945","","",""
"634","","","","","",""
"635","","","","","",""
"636","","","","","",""
"637","","","","","",""
"638","","","","","",""
"639","","","","74.65116279069768","74.65116279069768","74.65116279069768"
"640","70.39473684210526","70.39473684210526","70.39473684210526","","",""
"641","","","","","",""
"642","","","","","",""
"643","","","","","",""
"644","","","","","",""
"645","","","","","",""
"646","","","","75.5813953488372","75.5813953488372","75.5813953488372"
"647","55.26315789473684","55.26315789473684","55.26315789473684","","",""
"648","","","","","",""
"649","","","","","",""
"650","","","","","",""
"651","","","","","",""
"652","","","","","",""
"653","","","","76.04651162790698","76.04651162790698","76.04651162790698"
"654","58.55263157894737","58.55263157894737","58.55263157894737","","",""
"655","","","","","",""
"656","","","","","",""
"657","","","","","",""
"658","","","","","",""
"659","","","","","",""
"660","","","","75.34883720930232","75.34883720930232","75.34883720930232"
"661","63.81578947368421","63.81578947368421","63.81578947368421","","",""
"662","","","","","",""
"663","","","","","",""
"664","","","","","",""
"665","","","","","",""
"666","","","","","",""
"667","","","","76.27906976744187","76.27906976744187","76.27906976744187"
"668","74.34210526315789","74.34210526315789","74.34210526315789","","",""
"669","","","","","",""
"670","","","","","",""
"671","","","","","",""
"672","","","","","",""
"673","","","","","",""
"674","","","","75.34883720930232","75.34883720930232","75.34883720930232"
"675","77.63157894736842","77.63157894736842","77.63157894736842","","",""
"676","","","","","",""
"677","","","","","",""
"678","","","","","",""
"679","","","","","",""
"680","","","","","",""
"681","","","","77.67441860465117","77.67441860465117","77.67441860465117"
"682","78.28947368421052","78.28947368421052","78.28947368421052","","",""
"683","","","","","",""
"684","","","","","",""
"685","","","","","",""
"686","","","","","",""
"687","","","","","",""
"688","","","","76.9767441860465","76.9767441860465","76.9767441860465"
"689","76.97368421052632","76.97368421052632","76.97368421052632","","",""
"690","","","","","",""
"691","","","","","",""
"692","","","","","",""
"693","","","","","",""
"694","","","","","",""
"695","","","","79.30232558139535","79.30232558139535","79.30232558139535"
"696","79.60526315789474","79.60526315789474","79.60526315789474","","",""
"697","","","","","",""
"698","","","","","",""
"699","","","","","",""
"700","","","","","",""
"701","","","","","",""
"702","","","","77.20930232558139","77.20930232558139","77.20930232558139"
"703","77.63157894736842","77.63157894736842","77.63157894736842","","",""
"704","","","","","",""
"705","","","","","",""
"706","","","","","",""
"707","","","","","",""
"708","","","","","",""
"709","","","","80.93023255813954","80.93023255813954","80.93023255813954"
"710","73.6842105263158","73.6842105263158","73.6842105263158","","",""
"711","","","","","",""
"712","","","","","",""
"713","","","","","",""
"714","","","","","",""
"715","","","","","",""
"716","","","","80.23255813953489","80.23255813953489","80.23255813953489"
"717","63.81578947368421","63.81578947368421","63.81578947368421","","",""
"718","","","","","",""
"719","","","","","",""
"720","","","","","",""
"721","","","","","",""
"722","","","","","",""
"723","","","","78.83720930232559","78.83720930232559","78.83720930232559"
"724","69.07894736842105","69.07894736842105","69.07894736842105","","",""
"725","","","","","",""
"726","","","","","",""
"727","","","","","",""
"728","","","","","",""
"729","","","","","",""
"730","","","","81.16279069767441","81.16279069767441","81.16279069767441"
"731","76.97368421052632","76.97368421052632","76.97368421052632","","",""
"732","","","","","",""
"733","","","","","",""
"734","","","","","",""
"735","","","","","",""
"736","","","","","",""
"737","","","","79.53488372093022","79.53488372093022","79.53488372093022"
"738","75","75","75","","",""
"739","","","","","",""
"740","","","","","",""
"741","","","","","",""
"742","","","","","",""
"743","","","","","",""
"744","","","","80.69767441860465","80.69767441860465","80.69767441860465"
"745","71.71052631578948","71.71052631578948","71.71052631578948","","",""
"746","","","","","",""
"747","","","","","",""
"748","","","","","",""
"749","","","","","",""
"750","","","","","",""
"751","","","","78.83720930232559","78.83720930232559","78.83720930232559"
"752","71.05263157894737","71.05263157894737","71.05263157894737","","",""
"753","","","","","",""
"754","","","","","",""
"755","","","","","",""
"756","","","","","",""
"757","","","","","",""
"758","","","","78.83720930232559","78.83720930232559","78.83720930232559"
"759","70.39473684210526","70.39473684210526","70.39473684210526","","",""
"760","","","","","",""
"761","","","","","",""
"762","","","","","",""
"763","","","","","",""
"764","","","","","",""
"765","","","","80.93023255813954","80.93023255813954","80.93023255813954"
"766","67.10526315789474","67.10526315789474","67.10526315789474","","",""
"767","","","","","",""
"768","","","","","",""
"769","","","","","",""
"770","","","","","",""
"771","","","","","",""
"772","","","","79.30232558139535","79.30232558139535","79.30232558139535"
"773","79.60526315789474","79.60526315789474","79.60526315789474","","",""
"774","","","","","",""
"775","","","","","",""
"776","","","","","",""
"777","","","","","",""
"778","","","","","",""
"779","","","","82.32558139534883","82.32558139534883","82.32558139534883"
"780","76.3157894736842","76.3157894736842","76.3157894736842","","",""
"781","","","","","",""
"782","","","","","",""
"783","","","","","",""
"784","","","","","",""
"785","","","","","",""
"786","","","","81.3953488372093","81.3953488372093","81.3953488372093"
"787","76.97368421052632","76.97368421052632","76.97368421052632","","",""
"788","","","","","",""
"789","","","","","",""
"790","","","","","",""
"791","","","","","",""
"792","","","","","",""
"793","","","","83.48837209302326","83.48837209302326","83.48837209302326"
"794","76.3157894736842","76.3157894736842","76.3157894736842","","",""
"795","","","","","",""
"796","","","","","",""
"797","","","","","",""
"798","","","","","",""
"799","","","","","",""
"800","","","","79.76744186046511","79.76744186046511","79.76744186046511"
"801","73.6842105263158","73.6842105263158","73.6842105263158","","",""
"802","","","","","",""
"803","","","","","",""
"804","","","","","",""
"805","","","","","",""
"806","","","","","",""
"807","","","","82.09302325581396","82.09302325581396","82.09302325581396"
"808","71.71052631578948","71.71052631578948","71.71052631578948","","",""
"809","","","","","",""
"810","","","","","",""
"811","","","","","",""
"812","","","","","",""
"813","","","","","",""
"814","","","","81.86046511627907","81.86046511627907","81.86046511627907"
"815","71.71052631578948","71.71052631578948","71.71052631578948","","",""
"816","","","","","",""
"817","","","","","",""
"818","","","","","",""
"819","","","","","",""
"820","","","","","",""
"821","","","","81.3953488372093","81.3953488372093","81.3953488372093"
"822","78.28947368421052","78.28947368421052","78.28947368421052","","",""
"823","","","","","",""
"824","","","","","",""
"825","","","","","",""
"826","","","","","",""
"827","","","","","",""
"828","","","","81.62790697674419","81.62790697674419","81.62790697674419"
"829","75","75","75","","",""
"830","","","","","",""
"831","","","","","",""
"832","","","","","",""
"833","","","","","",""
"834","","","","","",""
"835","","","","80.23255813953489","80.23255813953489","80.23255813953489"
"836","75","75","75","","",""
"837","","","","","",""
"838","","","","","",""
"839","","","","","",""
"840","","","","","",""
"841","","","","","",""
"842","","","","81.62790697674419","81.62790697674419","81.62790697674419"
"843","75.65789473684211","75.65789473684211","75.65789473684211","","",""
"844","","","","","",""
"845","","","","","",""
"846","","","","","",""
